wind_direction,U_inf,yaw_1,yaw_2,power_1,power_2,power_total
270,8.0,20,0.0,1561.32,778.04,2339.36
270,8.0,25,0.0,1458.96,909.44,2368.39
270,8.0,30,0.0,1339.86,1023.43,2363.29
270,10.0,-30,0.0,2618.95,1962.62,4581.57
270,10.0,-25,0.0,2863.71,1724.28,4587.99
270,10.0,-20,0.0,3063.49,1492.14,4555.63
270,10.0,-15,0.0,3218.62,1265.2,4483.82
270,10.0,-10,0.0,3329.31,1079.88,4409.19
270,10.0,-5,0.0,3395.68,950.9,4346.58
270,10.0,0,0.0,3417.8,908.38,4326.18
270,10.0,5,0.0,3395.68,968.27,4363.95
270,10.0,10,0.0,3329.31,1107.31,4436.62
270,10.0,15,0.0,3218.62,1300.28,4518.91
270,10.0,20,0.0,3063.49,1527.41,4590.9
270,10.0,25,0.0,2863.71,1756.15,4619.86
270,10.0,30,0.0,2618.95,1990.46,4609.4
270,12.0,-30,0.0,4478.61,3463.67,7942.28
270,12.0,-25,0.0,4862.41,3211.48,8073.89
270,12.0,-20,0.0,5000.0,2962.18,7962.18
270,12.0,-15,0.0,5000.0,2730.33,7730.33
270,12.0,-10,0.0,5000.0,2538.1,7538.1
